the_geom,cartodb_id,tipo,color
0101000020E6100000371EA65CA57E58C0D391548DFB143340,1,Competidor,3969AC
0101000020E61000007060EE6A649858C04D2676860C533340,2,Competidor,3969AC
0101000020E610000025CBAC52F84757C082F3D2E2C6C13040,3,Competidor,3969AC
0101000020E6100000C50AAF0B9C2C58C092FB67171D163140,4,Competidor,3969AC
0101000020E610000006F7031E18E958C0B587DE5EA9473340,5,Competidor,3969AC
0101000020E61000001FEBB146E09558C01939EA6CF10F3440,6,Competidor,3969AC
0101000020E61000008F55A58827CE58C039601577D5ED3240,7,Competidor,3969AC
0101000020E61000001ABF9591DFC258C0CB0F3BD720753340,8,Competidor,3969AC
0101000020E6100000406A3435E09B58C029A1CB065F483340,9,Competidor,3969AC
0101000020E6100000A06EA0C07B395AC06AF1AD386A3C3540,10,Competidor,3969AC
0101000020E6100000C3DE1F4A8FCD57C044F89B7907733240,11,Competidor,3969AC
0101000020E610000082C98D22AB6756C02702CDCE3FF73440,12,Competidor,3969AC
0101000020E610000095CFB8912E0759C06826F7BF4C603940,13,Competidor,3969AC
0101000020E6100000C88089CB73A159C06E0524CC7AC03640,14,Competidor,3969AC
0101000020E6100000AF4AF97B2F1359C0D74C2104A2A83940,15,Competidor,3969AC
0101000020E610000094F947DF64635BC07B9FEC5ED5503F40,16,Competidor,3969AC
0101000020E6100000A5415DE66CCC58C09A758C4C3C643340,17,Competidor,3969AC
0101000020E6100000BC95E31DB9B555C0C6D8AE754E1B3540,18,Competidor,3969AC
0101000020E6100000548760459BBB58C00B3E721019E53340,19,Competidor,3969AC
0101000020E6100000FE8B1488A6BF58C02C09B37D863B3340,20,Competidor Indirecto,A5AA99
0101000020E6100000A482B329914059C02FAA5EE1D1253640,21,Competidor Indirecto,A5AA99
0101000020E61000002C85BCF50CE959C054754D50DCA13740,22,Competidor Indirecto,A5AA99
0101000020E6100000BCABA268734059C0D81E076F592A3640,23,Competidor Indirecto,A5AA99
0101000020E6100000C9B30563C85C5BC02FA6BAFC5E103B40,24,Competidor Indirecto,A5AA99
0101000020E6100000FB2C64E877FB58C0F7698953B5563440,25,Competidor Indirecto,A5AA99
0101000020E61000002B7070F189A459C0212EEF607A6F3540,26,Competidor Indirecto,A5AA99
0101000020E61000008DE1DA1EB74959C029C95B2A46B03340,27,Competidor Indirecto,A5AA99
0101000020E6100000AB8F2C0549CC58C065B56DD6E8563340,28,Competidor Indirecto,A5AA99
0101000020E6100000DEA3C4CFFBE156C0B9809F8A7ED13140,29,Competidor Indirecto,A5AA99
0101000020E6100000F151985AA3CD58C04727644A98AE3340,30,Competidor Indirecto,A5AA99
